
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:10 |       48.78% |       47.16% |       0.8922 |       0.8712 |          0.0500 |
|       1 |          20 |       00:00:51 |       84.28% |              |       0.6848 |              |          0.0500 |
|       1 |          40 |       00:01:32 |       94.97% |              |       0.4565 |              |          0.0500 |
|       2 |          60 |       00:02:15 |       94.74% |              |       0.5342 |              |          0.0500 |
|       2 |          80 |       00:02:57 |       98.06% |              |       0.2182 |              |          0.0500 |
|       3 |         100 |       00:03:46 |       96.68% |       96.69% |       0.3928 |       0.3932 |          0.0500 |
|       3 |         120 |       00:04:29 |       96.28% |              |       0.4355 |              |          0.0500 |
|       4 |         140 |       00:05:12 |       97.35% |              |       0.2869 |              |          0.0500 |
|       4 |         160 |       00:05:54 |       98.39% |              |       0.2159 |              |          0.0500 |
|       5 |         180 |       00:06:38 |       97.94% |              |       0.2197 |              |          0.0500 |
|       5 |         200 |       00:07:26 |       98.20% |       97.71% |       0.1575 |       0.2576 |          0.0500 |
|       6 |         220 |       00:08:09 |       98.33% |              |       0.1776 |              |          0.0500 |
|       6 |         240 |       00:08:52 |       97.86% |              |       0.1711 |              |          0.0500 |
|       7 |         260 |       00:09:36 |       98.25% |              |       0.2129 |              |          0.0500 |
|       7 |         280 |       00:10:18 |       98.77% |              |       0.1571 |              |          0.0500 |
|       8 |         300 |       00:11:07 |       98.45% |       98.17% |       0.1783 |       0.2136 |          0.0500 |
|       8 |         320 |       00:11:50 |       98.57% |              |       0.1587 |              |          0.0500 |
|       9 |         340 |       00:12:34 |       98.67% |              |       0.1387 |              |          0.0500 |
|       9 |         360 |       00:13:16 |       98.53% |              |       0.1480 |              |          0.0500 |
|      10 |         380 |       00:14:00 |       98.30% |              |       0.1578 |              |          0.0500 |
|      10 |         400 |       00:14:48 |       98.87% |       98.29% |       0.1406 |       0.2070 |          0.0500 |
|      11 |         420 |       00:15:32 |       97.91% |              |       0.2035 |              |          0.0050 |
