
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:11 |       94.02% |       93.62% |       0.8730 |       0.8291 |          0.0500 |
|       1 |          20 |       00:00:53 |       94.22% |              |       0.5587 |              |          0.0500 |
|       1 |          40 |       00:01:37 |       94.60% |              |       0.5681 |              |          0.0500 |
|       2 |          60 |       00:02:23 |       95.94% |              |       0.4527 |              |          0.0500 |
|       2 |          80 |       00:03:08 |       97.69% |              |       0.2031 |              |          0.0500 |
|       3 |         100 |       00:04:00 |       98.80% |       97.81% |       0.1796 |       0.2609 |          0.0500 |
|       3 |         120 |       00:04:45 |       97.95% |              |       0.1748 |              |          0.0500 |
|       4 |         140 |       00:05:31 |       98.38% |              |       0.1819 |              |          0.0500 |
|       4 |         160 |       00:06:16 |       99.03% |              |       0.1124 |              |          0.0500 |
|       5 |         180 |       00:07:03 |       98.08% |              |       0.1930 |              |          0.0500 |
|       5 |         200 |       00:07:54 |       98.24% |       98.39% |       0.2354 |       0.1888 |          0.0500 |
|       6 |         220 |       00:08:40 |       97.75% |              |       0.2396 |              |          0.0500 |
|       6 |         240 |       00:09:25 |       98.93% |              |       0.1032 |              |          0.0500 |
|       7 |         260 |       00:10:12 |       98.95% |              |       0.1273 |              |          0.0500 |
|       7 |         280 |       00:10:57 |       99.01% |              |       0.1043 |              |          0.0500 |
|       8 |         300 |       00:11:49 |       99.16% |       98.75% |       0.0703 |       0.1725 |          0.0500 |
|       8 |         320 |       00:12:34 |       99.06% |              |       0.0915 |              |          0.0500 |
|       9 |         340 |       00:13:21 |       98.95% |              |       0.1018 |              |          0.0500 |
|       9 |         360 |       00:14:06 |       98.65% |              |       0.1242 |              |          0.0500 |
|      10 |         380 |       00:14:52 |       99.13% |              |       0.1052 |              |          0.0500 |
|      10 |         400 |       00:15:43 |       99.09% |       98.84% |       0.1055 |       0.1520 |          0.0500 |
|      11 |         420 |       00:16:30 |       98.95% |              |       0.1001 |              |          0.0050 |
