
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:20 |       47.52% |       48.35% |       0.9520 |       0.9433 |          0.0500 |
|       1 |          20 |       00:01:04 |       77.42% |              |       0.8191 |              |          0.0500 |
|       1 |          40 |       00:01:48 |       92.68% |              |       0.7594 |              |          0.0500 |
|       2 |          60 |       00:02:34 |       94.18% |              |       0.7737 |              |          0.0500 |
|       2 |          80 |       00:03:18 |       93.36% |              |       0.6144 |              |          0.0500 |
|       3 |         100 |       00:04:11 |       96.00% |       95.70% |       0.5145 |       0.5649 |          0.0500 |
|       3 |         120 |       00:04:56 |       97.86% |              |       0.3430 |              |          0.0500 |
|       4 |         140 |       00:05:43 |       96.93% |              |       0.5446 |              |          0.0500 |
|       4 |         160 |       00:06:28 |       97.47% |              |       0.3958 |              |          0.0500 |
|       5 |         180 |       00:07:14 |       97.14% |              |       0.4623 |              |          0.0500 |
|       5 |         200 |       00:08:05 |       96.18% |       97.57% |       0.4550 |       0.3950 |          0.0500 |
|       6 |         220 |       00:08:53 |       97.80% |              |       0.2852 |              |          0.0500 |
|       6 |         240 |       00:09:37 |       98.30% |              |       0.2587 |              |          0.0500 |
|       7 |         260 |       00:10:24 |       98.23% |              |       0.2916 |              |          0.0500 |
|       7 |         280 |       00:11:09 |       97.87% |              |       0.3665 |              |          0.0500 |
|       8 |         300 |       00:12:02 |       97.70% |       98.00% |       0.2964 |       0.3402 |          0.0500 |
|       8 |         320 |       00:12:48 |       98.35% |              |       0.2600 |              |          0.0500 |
|       9 |         340 |       00:13:34 |       98.31% |              |       0.2541 |              |          0.0500 |
|       9 |         360 |       00:14:20 |       98.52% |              |       0.2528 |              |          0.0500 |
|      10 |         380 |       00:15:06 |       98.15% |              |       0.2627 |              |          0.0500 |
|      10 |         400 |       00:15:58 |       98.76% |       98.39% |       0.2039 |       0.2666 |          0.0500 |
|      11 |         420 |       00:16:45 |       98.33% |              |       0.2153 |              |          0.0050 |
