
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:11 |       31.34% |       33.54% |       0.9488 |       0.9370 |          0.0500 |
|       1 |          20 |       00:00:53 |       66.09% |              |       0.8979 |              |          0.0500 |
|       1 |          40 |       00:01:36 |       81.68% |              |       0.7722 |              |          0.0500 |
|       2 |          60 |       00:02:20 |       91.94% |              |       0.8429 |              |          0.0500 |
|       2 |          80 |       00:03:03 |       93.88% |              |       0.7700 |              |          0.0500 |
|       3 |         100 |       00:03:54 |       94.37% |       95.02% |       0.7659 |       0.6386 |          0.0500 |
|       3 |         120 |       00:04:38 |       95.53% |              |       0.4708 |              |          0.0500 |
|       4 |         140 |       00:05:22 |       97.18% |              |       0.3931 |              |          0.0500 |
|       4 |         160 |       00:06:06 |       96.47% |              |       0.5159 |              |          0.0500 |
|       5 |         180 |       00:06:51 |       96.83% |              |       0.4883 |              |          0.0500 |
|       5 |         200 |       00:07:40 |       98.45% |       97.13% |       0.2716 |       0.4513 |          0.0500 |
|       6 |         220 |       00:08:26 |       97.33% |              |       0.3833 |              |          0.0500 |
|       6 |         240 |       00:09:10 |       96.28% |              |       0.5552 |              |          0.0500 |
|       7 |         260 |       00:09:54 |       97.26% |              |       0.4223 |              |          0.0500 |
|       7 |         280 |       00:10:38 |       98.01% |              |       0.3487 |              |          0.0500 |
|       8 |         300 |       00:11:30 |       97.63% |       97.67% |       0.3776 |       0.3863 |          0.0500 |
|       8 |         320 |       00:12:14 |       96.58% |              |       0.5464 |              |          0.0500 |
|       9 |         340 |       00:12:59 |       97.84% |              |       0.2864 |              |          0.0500 |
|       9 |         360 |       00:13:43 |       97.75% |              |       0.2952 |              |          0.0500 |
|      10 |         380 |       00:14:28 |       97.67% |              |       0.3609 |              |          0.0500 |
|      10 |         400 |       00:15:18 |       98.28% |       97.36% |       0.2430 |       0.3829 |          0.0500 |
|      11 |         420 |       00:16:03 |       98.09% |              |       0.2796 |              |          0.0050 |
